trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.01, 'e': 0.9351952013367766}",20,9,-82.06559343122842,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
68,False,"{'a': 0.01, 'e': 0.9342604735772135}",25,14,-15.308475676878624,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.933326680078202}",20,0,-131.55144883274227,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-192.02927020159694,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
71,False,"{'a': 0.01, 'e': 0.9314618921275921}",25,0,-156.2177405679166,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.9305308958112057}",25,0,-149.8924172701744,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.9296008300257927}",25,0,-29.865810340624506,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.9286716938412872}",25,0,-93.93266747716447,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.9277434863285529}",20,0,-107.08612541263119,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.9268162065593822}",30,21,-8.463716652501631,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.9258898536064953}",30,0,-202.8263196226277,"{0: 14, 1: 8, 2: 4, 3: 1, 4: 3}",0
78,False,"{'a': 0.01, 'e': 0.9249644265435393}",20,0,-90.71618881100515,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.9240399244450868}",20,0,-59.68413975965903,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,3,-63.09036365746937,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.922193691444608}",20,0,-53.00465298814751,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.9212719586963487}",20,0,-77.75858996826224,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.9203511472201247}",25,0,-106.22086370314717,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.9194312560951247}",20,0,-63.47825678668895,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.9185122844014574}",25,0,-126.67664780522504,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.9175942312201509}",25,0,-91.14363230463331,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.9166770956331523}",25,0,-20.935450700179434,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.9157608767233256}",30,0,-112.71276546914261,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.914845573574452}",25,3,-106.9545338589068,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.9139311852712282}",30,0,-261.2680530751248,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 5}",0
91,False,"{'a': 0.01, 'e': 0.9130177108992658}",20,0,-124.02145601136247,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
92,False,"{'a': 0.01, 'e': 0.9121051495450904}",20,0,-49.96592982417738,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.9111935002961405}",25,17,14.014741249183853,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.910282762240767}",30,0,-129.965736822867,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.9093729344682314}",25,0,-178.1745984680594,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
96,False,"{'a': 0.01, 'e': 0.9084640160687062}",30,0,-79.85988441066556,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.9075560061332727}",30,0,-185.30002657178656,"{0: 13, 1: 8, 2: 6, 3: 1, 4: 2}",0
98,False,"{'a': 0.01, 'e': 0.9066489037539209}",25,0,-171.30591917599529,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
99,False,"{'a': 0.01, 'e': 0.9057427080235485}",25,0,-60.707036357648825,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-131.87462023978847,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
101,False,"{'a': 0.01, 'e': 0.9039330328858641}",20,0,-100.86441922754621,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
102,False,"{'a': 0.01, 'e': 0.9030295516688768}",20,0,-175.40657090516677,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
103,False,"{'a': 0.01, 'e': 0.9021269734815165}",20,0,-171.592675309398,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
104,False,"{'a': 0.01, 'e': 0.9012252974212047}",20,0,-161.49185481580545,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
105,False,"{'a': 0.01, 'e': 0.9003245225862656}",25,0,-170.76167669016965,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
106,False,"{'a': 0.01, 'e': 0.899424648075924}",35,0,-156.0801565360464,"{0: 22, 1: 4, 2: 7, 3: 0, 4: 2}",0
107,False,"{'a': 0.01, 'e': 0.8985256729903055}",25,0,-141.2577080042696,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
108,False,"{'a': 0.01, 'e': 0.8976275964304349}",25,12,-59.23008106709759,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.8967304174982355}",20,0,-130.31871149657678,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
110,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-112.52118520226679,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
111,False,"{'a': 0.01, 'e': 0.894938748929031}",20,0,-81.34899479062575,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
112,False,"{'a': 0.01, 'e': 0.8940442575003572}",20,0,-74.80929428633654,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
113,False,"{'a': 0.01, 'e': 0.8931506601160155}",25,0,-205.27329152137173,"{0: 12, 1: 5, 2: 3, 3: 2, 4: 3}",0
114,False,"{'a': 0.01, 'e': 0.8922579558824083}",20,0,-22.641993762416227,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.8913661439068313}",25,0,-93.18087318450782,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",1
116,False,"{'a': 0.01, 'e': 0.8904752232974726}",20,0,-19.89936942158504,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.8895851931634113}",25,0,-54.60638701901918,"{0: 18, 1: 6, 2: 0, 3: 0, 4: 1}",0
118,False,"{'a': 0.01, 'e': 0.8886960526146174}",25,0,-71.86479838479931,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.8878078007619501}",30,0,-161.4014100722811,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
120,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-146.59939482421137,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",1
